id,season,winner,home_team_avg_score,visitor_team_avg_score
48935,2018,1,109.5,98.8
48923,2018,0,108.7,104.2
48924,2018,1,102.2,98.6
48953,2018,1,104.9,104.2
48938,2018,1,100.2,99.3
48946,2018,1,101.1,103.9
48969,2018,1,101.8,98.4
48962,2018,1,109.5,100.1
48963,2018,1,105.7,98.4
48966,2018,1,100.2,98.1
48976,2018,1,101.1,98.5
48974,2018,0,103.4,100.0
48985,2018,0,105.5,99.4
48988,2018,1,102.2,101.1
48987,2018,0,100.9,99.8
48996,2018,1,106.1,101.5
49002,2018,1,105.5,101.5
49021,2018,0,101.1,98.1
49004,2018,0,102.2,100.6
49000,2018,1,108.7,100.1
49006,2018,0,101.1,102.3
49012,2018,1,103.3,99.8
49011,2018,0,103.4,96.0
49023,2018,0,105.7,101.4
49044,2018,0,101.8,102.1
49029,2018,1,106.1,99.4
49030,2018,1,100.9,101.4
49034,2018,1,104.5,102.1
49041,2018,0,108.4,99.4
49046,2018,1,101.7,98.6
49043,2018,0,98.4,104.6
49045,2018,1,103.2,99.4
49051,2018,1,101.2,101.7
49056,2018,0,106.0,104.2
49049,2018,1,104.9,104.2
49055,2018,1,100.1,104.6
49059,2018,1,103.5,98.2
49054,2018,0,103.3,102.1
49060,2018,1,102.1,101.8
49080,2018,1,101.1,98.6
49071,2018,0,105.7,101.7
49069,2018,0,106.0,101.5
49082,2018,1,108.4,98.2
49073,2018,1,108.7,98.1
49086,2018,0,105.5,102.1
49075,2018,1,103.1,99.3
49079,2018,0,100.1,102.1
49084,2018,1,106.0,103.9
49096,2018,1,109.5,101.4
49088,2018,0,101.7,100.1
49091,2018,1,103.3,99.8
49095,2018,0,104.8,98.8
49097,2018,0,108.4,100.0
49110,2018,0,104.8,95.9
49102,2018,0,103.2,101.1
